time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-10-23T16:11:07.620Z,35.895,-120.4401667,4.84,2.29,md,37,48,0.03423,0.08,nc,nc21413661,2017-01-09T05:24:46.040Z,"0 km SW of Parkfield, California",earthquake,0.22,0.37,0.1,27,automatic,nc,nc
2004-10-23T14:20:14.270Z,35.9611667,-120.5161667,3.852,1.04,md,11,100,0.01532,0.05,nc,nc30506540,2017-01-09T05:24:30.032Z,"10 km NW of Parkfield, California",earthquake,0.37,0.86,0.03,3,automatic,nc,nc
2004-10-23T14:06:25.560Z,35.9243333,-120.4725,5.66,0.86,md,10,120,0.03514,0.04,nc,nc21413618,2017-01-09T05:24:19.115Z,"4 km NW of Parkfield, California",earthquake,0.59,1.47,0.11,2,automatic,nc,nc
2004-10-23T11:48:11.130Z,35.9365,-120.4853333,7.144,0.74,md,8,109,0.02162,0.03,nc,nc21413597,2017-01-09T05:23:30.967Z,"6 km NW of Parkfield, California",earthquake,0.67,1.83,,1,automatic,nc,nc
2004-10-23T10:35:50.600Z,35.9441667,-120.4958333,13.07,1.7,md,31,62,0.01261,0.08,nc,nc21413582,2017-01-09T05:23:23.352Z,"7 km NW of Parkfield, California",earthquake,0.33,0.41,0.14,17,automatic,nc,nc
2004-10-23T10:08:49.180Z,35.9666667,-120.5163333,2.938,0.4,md,7,115,0.01351,0.03,nc,nc21413575,2017-01-09T05:23:15.409Z,"10 km NW of Parkfield, California",earthquake,0.51,1.12,0.15,2,automatic,nc,nc
2004-10-23T09:20:44.660Z,35.9268333,-120.4746667,5.41,0.75,md,10,113,0.03243,0.04,nc,nc21413577,2017-01-09T05:22:55.933Z,"4 km NW of Parkfield, California",earthquake,0.48,1.36,0.17,3,automatic,nc,nc
2004-10-23T07:55:17.750Z,35.8831667,-120.4266667,5.806,2.98,md,61,44,0.02072,0.05,nc,nc21413548,2017-01-09T05:22:43.910Z,"1 km SSE of Parkfield, California",earthquake,0.14,0.2,0.07,72,reviewed,nc,nc
2004-10-23T06:51:58.390Z,35.9275,-120.4816667,3.557,1.39,md,13,104,0.02703,0.08,nc,nc21413509,2017-01-09T05:22:33.640Z,"5 km NW of Parkfield, California",earthquake,0.4,0.9,0.11,5,automatic,nc,nc
2004-10-23T06:30:01.690Z,35.893,-120.438,11.081,0.79,md,11,212,0.04324,0.05,nc,nc21413494,2017-01-09T05:22:17.789Z,"0 km SSW of Parkfield, California",earthquake,1.39,2.44,0.2,4,automatic,nc,nc
2004-10-23T05:21:59.340Z,35.9301667,-120.4616667,6.485,0.75,md,5,192,0.02613,0.03,nc,nc21413460,2017-01-09T05:22:03.282Z,"4 km NW of Parkfield, California",earthquake,3.03,5.53,,1,automatic,nc,nc
